tick | mnemonic
-------------------------------------------------
0001 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0002 | dr[22:0] -> input address
0003 | input -> acc
0004 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0005 | if Z not set: jmp @fetch
0006 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0007 | dr[22:0] + pc -> ar
0008 | acc[31:0] -> mem(ar)
0009 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0010 | dr[22:0] -> input address
0011 | input -> acc
0012 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0013 | dr[22:0] -> output address
0014 | acc -> output
0015 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0016 | dr[22:0] + pc -> ar
0017 | mem(ar)[31:0] -> dr
0018 | dr[31:0] -> acc
0019 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0020 | acc - 1 -> acc
0021 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0022 | dr[22:0] + pc -> ar
0023 | acc[31:0] -> mem(ar)
0024 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0025 | if Z set: jmp @fetch
0026 | pc + extended(dr[22:0]) -> pc
0027 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0028 | dr[22:0] -> input address
0029 | input -> acc
0030 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0031 | dr[22:0] -> output address
0032 | acc -> output
0033 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0034 | dr[22:0] + pc -> ar
0035 | mem(ar)[31:0] -> dr
0036 | dr[31:0] -> acc
0037 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0038 | acc - 1 -> acc
0039 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0040 | dr[22:0] + pc -> ar
0041 | acc[31:0] -> mem(ar)
0042 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0043 | if Z set: jmp @fetch
0044 | pc + extended(dr[22:0]) -> pc
0045 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0046 | dr[22:0] -> input address
0047 | input -> acc
0048 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0049 | dr[22:0] -> output address
0050 | acc -> output
0051 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0052 | dr[22:0] + pc -> ar
0053 | mem(ar)[31:0] -> dr
0054 | dr[31:0] -> acc
0055 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0056 | acc - 1 -> acc
0057 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0058 | dr[22:0] + pc -> ar
0059 | acc[31:0] -> mem(ar)
0060 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0061 | if Z set: jmp @fetch
0062 | pc + extended(dr[22:0]) -> pc
0063 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0064 | dr[22:0] -> input address
0065 | input -> acc
0066 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0067 | dr[22:0] -> output address
0068 | acc -> output
0069 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0070 | dr[22:0] + pc -> ar
0071 | mem(ar)[31:0] -> dr
0072 | dr[31:0] -> acc
0073 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0074 | acc - 1 -> acc
0075 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0076 | dr[22:0] + pc -> ar
0077 | acc[31:0] -> mem(ar)
0078 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0079 | if Z set: jmp @fetch
0080 | pc + extended(dr[22:0]) -> pc
0081 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0082 | dr[22:0] -> input address
0083 | input -> acc
0084 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0085 | dr[22:0] -> output address
0086 | acc -> output
0087 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0088 | dr[22:0] + pc -> ar
0089 | mem(ar)[31:0] -> dr
0090 | dr[31:0] -> acc
0091 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0092 | acc - 1 -> acc
0093 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0094 | dr[22:0] + pc -> ar
0095 | acc[31:0] -> mem(ar)
0096 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0097 | if Z set: jmp @fetch
0098 | pc + extended(dr[22:0]) -> pc
0099 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0100 | dr[22:0] -> input address
0101 | input -> acc
0102 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0103 | dr[22:0] -> output address
0104 | acc -> output
0105 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0106 | dr[22:0] + pc -> ar
0107 | mem(ar)[31:0] -> dr
0108 | dr[31:0] -> acc
0109 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0110 | acc - 1 -> acc
0111 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0112 | dr[22:0] + pc -> ar
0113 | acc[31:0] -> mem(ar)
0114 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0115 | if Z set: jmp @fetch
0116 | pc + extended(dr[22:0]) -> pc
0117 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0118 | dr[22:0] -> input address
0119 | input -> acc
0120 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0121 | dr[22:0] -> output address
0122 | acc -> output
0123 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0124 | dr[22:0] + pc -> ar
0125 | mem(ar)[31:0] -> dr
0126 | dr[31:0] -> acc
0127 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0128 | acc - 1 -> acc
0129 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0130 | dr[22:0] + pc -> ar
0131 | acc[31:0] -> mem(ar)
0132 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0133 | if Z set: jmp @fetch
0134 | pc + extended(dr[22:0]) -> pc
0135 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0136 | dr[22:0] -> input address
0137 | input -> acc
0138 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0139 | dr[22:0] -> output address
0140 | acc -> output
0141 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0142 | dr[22:0] + pc -> ar
0143 | mem(ar)[31:0] -> dr
0144 | dr[31:0] -> acc
0145 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0146 | acc - 1 -> acc
0147 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0148 | dr[22:0] + pc -> ar
0149 | acc[31:0] -> mem(ar)
0150 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0151 | if Z set: jmp @fetch
0152 | pc + extended(dr[22:0]) -> pc
0153 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0154 | dr[22:0] -> input address
0155 | input -> acc
0156 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0157 | dr[22:0] -> output address
0158 | acc -> output
0159 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0160 | dr[22:0] + pc -> ar
0161 | mem(ar)[31:0] -> dr
0162 | dr[31:0] -> acc
0163 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0164 | acc - 1 -> acc
0165 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0166 | dr[22:0] + pc -> ar
0167 | acc[31:0] -> mem(ar)
0168 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0169 | if Z set: jmp @fetch
0170 | pc + extended(dr[22:0]) -> pc
0171 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0172 | dr[22:0] -> input address
0173 | input -> acc
0174 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0175 | dr[22:0] -> output address
0176 | acc -> output
0177 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0178 | dr[22:0] + pc -> ar
0179 | mem(ar)[31:0] -> dr
0180 | dr[31:0] -> acc
0181 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0182 | acc - 1 -> acc
0183 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0184 | dr[22:0] + pc -> ar
0185 | acc[31:0] -> mem(ar)
0186 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0187 | if Z set: jmp @fetch
0188 | pc + extended(dr[22:0]) -> pc
0189 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0190 | dr[22:0] -> input address
0191 | input -> acc
