tick | mnemonic
-------------------------------------------------
0001 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0002 | 0 -> acc
0003 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0004 | dr[22:0] + pc -> ar
0005 | acc[31:0] -> mem(ar)
0006 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0007 | dr[22:0] + pc -> ar
0008 | acc[31:0] -> mem(ar)
0009 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0010 | dr[22:0] -> input address
0011 | input -> acc
0012 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0013 | dr[22:0] + pc -> ar
0014 | acc[31:0] -> mem(ar)
0015 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0016 | dr[22:0] + pc -> ar
0017 | mem(ar)[31:0] -> dr
0018 | dr[31:0] -> acc
0019 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0020 | if Z not set: jmp @fetch
0021 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0022 | acc - 1 -> acc
0023 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0024 | dr[22:0] + pc -> ar
0025 | acc[31:0] -> mem(ar)
0026 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0027 | dr[22:0] -> input address
0028 | input -> acc
0029 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0030 | dr[22:0] + pc -> ar
0031 | acc[31:0] -> mem(ar)
0032 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0033 | if N not set: jmp @fetch
0034 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0035 | dr[22:0] + pc -> ar
0036 | mem(ar)[31:0] -> dr
0037 | dr[31:0] -> acc
0038 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0039 | dr[22:0] + pc -> ar
0040 | mem(ar)[31:0] -> dr
0041 | acc + mem(ar) -> acc
0042 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0043 | dr[22:0] + pc -> ar
0044 | acc[31:0] -> mem(ar)
0045 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0046 | if C set: jmp @fetch
0047 | pc + extended(dr[22:0]) -> pc
0048 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0049 | dr[22:0] + pc -> ar
0050 | mem(ar)[31:0] -> dr
0051 | dr[31:0] -> acc
0052 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0053 | if Z not set: jmp @fetch
0054 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0055 | acc - 1 -> acc
0056 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0057 | dr[22:0] + pc -> ar
0058 | acc[31:0] -> mem(ar)
0059 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0060 | dr[22:0] -> input address
0061 | input -> acc
0062 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0063 | dr[22:0] + pc -> ar
0064 | acc[31:0] -> mem(ar)
0065 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0066 | if N not set: jmp @fetch
0067 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0068 | dr[22:0] + pc -> ar
0069 | mem(ar)[31:0] -> dr
0070 | dr[31:0] -> acc
0071 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0072 | dr[22:0] + pc -> ar
0073 | mem(ar)[31:0] -> dr
0074 | acc + mem(ar) -> acc
0075 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0076 | dr[22:0] + pc -> ar
0077 | acc[31:0] -> mem(ar)
0078 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0079 | if C set: jmp @fetch
0080 | pc + extended(dr[22:0]) -> pc
0081 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0082 | dr[22:0] + pc -> ar
0083 | mem(ar)[31:0] -> dr
0084 | dr[31:0] -> acc
0085 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0086 | if Z not set: jmp @fetch
0087 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0088 | acc - 1 -> acc
0089 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0090 | dr[22:0] + pc -> ar
0091 | acc[31:0] -> mem(ar)
0092 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0093 | dr[22:0] -> input address
0094 | input -> acc
0095 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0096 | dr[22:0] + pc -> ar
0097 | acc[31:0] -> mem(ar)
0098 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0099 | if N not set: jmp @fetch
0100 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0101 | dr[22:0] + pc -> ar
0102 | mem(ar)[31:0] -> dr
0103 | dr[31:0] -> acc
0104 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0105 | dr[22:0] + pc -> ar
0106 | mem(ar)[31:0] -> dr
0107 | acc + mem(ar) -> acc
0108 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0109 | dr[22:0] + pc -> ar
0110 | acc[31:0] -> mem(ar)
0111 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0112 | if C set: jmp @fetch
0113 | pc + extended(dr[22:0]) -> pc
0114 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0115 | dr[22:0] + pc -> ar
0116 | mem(ar)[31:0] -> dr
0117 | dr[31:0] -> acc
0118 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0119 | if Z not set: jmp @fetch
0120 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0121 | acc - 1 -> acc
0122 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0123 | dr[22:0] + pc -> ar
0124 | acc[31:0] -> mem(ar)
0125 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0126 | dr[22:0] -> input address
0127 | input -> acc
0128 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0129 | dr[22:0] + pc -> ar
0130 | acc[31:0] -> mem(ar)
0131 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0132 | if N not set: jmp @fetch
0133 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0134 | dr[22:0] + pc -> ar
0135 | mem(ar)[31:0] -> dr
0136 | dr[31:0] -> acc
0137 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0138 | dr[22:0] + pc -> ar
0139 | mem(ar)[31:0] -> dr
0140 | acc + mem(ar) -> acc
0141 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0142 | dr[22:0] + pc -> ar
0143 | acc[31:0] -> mem(ar)
0144 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0145 | if C set: jmp @fetch
0146 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0147 | dr[22:0] + pc -> ar
0148 | mem(ar)[31:0] -> dr
0149 | dr[31:0] -> acc
0150 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0151 | acc + 1 -> acc
0152 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0153 | dr[22:0] + pc -> ar
0154 | acc[31:0] -> mem(ar)
0155 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0156 | pc + extended(dr[22:0]) -> pc
0157 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0158 | dr[22:0] + pc -> ar
0159 | mem(ar)[31:0] -> dr
0160 | dr[31:0] -> acc
0161 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0162 | if Z not set: jmp @fetch
0163 | pc + extended(dr[22:0]) -> pc
0164 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0165 | dr[22:0] + pc -> ar
0166 | mem(ar)[31:0] -> dr
0167 | dr[31:0] -> acc
0168 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0169 | dr[22:0] -> output address
0170 | acc -> output
0171 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0172 | dr[22:0] + pc -> ar
0173 | mem(ar)[31:0] -> dr
0174 | dr[31:0] -> acc
0175 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0176 | dr[22:0] -> output address
0177 | acc -> output
0178 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0179 | halt
-------------------------------------------------
Program executed after 0179 ticks. Final state:
in: 
[0]
out: 
[1, 0]
memory_dump:
  [0x0000] 01 00 00 00 07 80 00 84 07 80 00 84 12 80 00 00
  [0x0010] 07 80 00 70 03 80 00 6c 15 80 00 54 02 80 00 00
