tick | mnemonic
-------------------------------------------------
0001 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0002 | extended(dr[22:0]) -> acc
0003 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0004 | acc + extended(dr[22:0]) -> acc
0005 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0006 | dr[22:0] + pc -> ar
0007 | acc[31:0] -> mem(ar)
0008 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0009 | dr[22:0] -> ar
0010 | mem(ar)[31:0] -> dr
0011 | dr[22:0] -> ar
0012 | mem(ar)[7:0] -> dr
0013 | dr[7:0] -> acc
0014 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0015 | dr[22:0] -> output address
0016 | acc -> output
0017 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0018 | dr[22:0] + pc -> ar
0019 | mem(ar)[31:0] -> dr
0020 | dr[31:0] -> acc
0021 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0022 | acc + 1 -> acc
0023 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0024 | dr[22:0] + pc -> ar
0025 | acc[31:0] -> mem(ar)
0026 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0027 | acc - extended(dr[22:0]) -> acc
0028 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0029 | acc - extended(dr[22:0]) -> acc
0030 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0031 | dr[22:0] + pc -> ar
0032 | mem(ar)[31:0] -> dr
0033 | acc - mem(ar) -> acc
0034 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0035 | if Z set: jmp @fetch
0036 | pc + extended(dr[22:0]) -> pc
0037 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0038 | dr[22:0] -> ar
0039 | mem(ar)[31:0] -> dr
0040 | dr[22:0] -> ar
0041 | mem(ar)[7:0] -> dr
0042 | dr[7:0] -> acc
0043 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0044 | dr[22:0] -> output address
0045 | acc -> output
0046 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0047 | dr[22:0] + pc -> ar
0048 | mem(ar)[31:0] -> dr
0049 | dr[31:0] -> acc
0050 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0051 | acc + 1 -> acc
0052 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0053 | dr[22:0] + pc -> ar
0054 | acc[31:0] -> mem(ar)
0055 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0056 | acc - extended(dr[22:0]) -> acc
0057 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0058 | acc - extended(dr[22:0]) -> acc
0059 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0060 | dr[22:0] + pc -> ar
0061 | mem(ar)[31:0] -> dr
0062 | acc - mem(ar) -> acc
0063 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0064 | if Z set: jmp @fetch
0065 | pc + extended(dr[22:0]) -> pc
0066 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0067 | dr[22:0] -> ar
0068 | mem(ar)[31:0] -> dr
0069 | dr[22:0] -> ar
0070 | mem(ar)[7:0] -> dr
0071 | dr[7:0] -> acc
0072 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0073 | dr[22:0] -> output address
0074 | acc -> output
0075 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0076 | dr[22:0] + pc -> ar
0077 | mem(ar)[31:0] -> dr
0078 | dr[31:0] -> acc
0079 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0080 | acc + 1 -> acc
0081 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0082 | dr[22:0] + pc -> ar
0083 | acc[31:0] -> mem(ar)
0084 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0085 | acc - extended(dr[22:0]) -> acc
0086 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0087 | acc - extended(dr[22:0]) -> acc
0088 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0089 | dr[22:0] + pc -> ar
0090 | mem(ar)[31:0] -> dr
0091 | acc - mem(ar) -> acc
0092 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0093 | if Z set: jmp @fetch
0094 | pc + extended(dr[22:0]) -> pc
0095 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0096 | dr[22:0] -> ar
0097 | mem(ar)[31:0] -> dr
0098 | dr[22:0] -> ar
0099 | mem(ar)[7:0] -> dr
0100 | dr[7:0] -> acc
0101 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0102 | dr[22:0] -> output address
0103 | acc -> output
0104 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0105 | dr[22:0] + pc -> ar
0106 | mem(ar)[31:0] -> dr
0107 | dr[31:0] -> acc
0108 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0109 | acc + 1 -> acc
0110 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0111 | dr[22:0] + pc -> ar
0112 | acc[31:0] -> mem(ar)
0113 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0114 | acc - extended(dr[22:0]) -> acc
0115 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0116 | acc - extended(dr[22:0]) -> acc
0117 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0118 | dr[22:0] + pc -> ar
0119 | mem(ar)[31:0] -> dr
0120 | acc - mem(ar) -> acc
0121 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0122 | if Z set: jmp @fetch
0123 | pc + extended(dr[22:0]) -> pc
0124 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0125 | dr[22:0] -> ar
0126 | mem(ar)[31:0] -> dr
0127 | dr[22:0] -> ar
0128 | mem(ar)[7:0] -> dr
0129 | dr[7:0] -> acc
0130 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0131 | dr[22:0] -> output address
0132 | acc -> output
0133 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0134 | dr[22:0] + pc -> ar
0135 | mem(ar)[31:0] -> dr
0136 | dr[31:0] -> acc
0137 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0138 | acc + 1 -> acc
0139 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0140 | dr[22:0] + pc -> ar
0141 | acc[31:0] -> mem(ar)
0142 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0143 | acc - extended(dr[22:0]) -> acc
0144 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0145 | acc - extended(dr[22:0]) -> acc
0146 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0147 | dr[22:0] + pc -> ar
0148 | mem(ar)[31:0] -> dr
0149 | acc - mem(ar) -> acc
0150 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0151 | if Z set: jmp @fetch
0152 | pc + extended(dr[22:0]) -> pc
0153 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0154 | dr[22:0] -> ar
0155 | mem(ar)[31:0] -> dr
0156 | dr[22:0] -> ar
0157 | mem(ar)[7:0] -> dr
0158 | dr[7:0] -> acc
0159 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0160 | dr[22:0] -> output address
0161 | acc -> output
0162 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0163 | dr[22:0] + pc -> ar
0164 | mem(ar)[31:0] -> dr
0165 | dr[31:0] -> acc
0166 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0167 | acc + 1 -> acc
0168 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0169 | dr[22:0] + pc -> ar
0170 | acc[31:0] -> mem(ar)
0171 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0172 | acc - extended(dr[22:0]) -> acc
0173 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0174 | acc - extended(dr[22:0]) -> acc
0175 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0176 | dr[22:0] + pc -> ar
0177 | mem(ar)[31:0] -> dr
0178 | acc - mem(ar) -> acc
0179 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0180 | if Z set: jmp @fetch
0181 | pc + extended(dr[22:0]) -> pc
0182 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0183 | dr[22:0] -> ar
0184 | mem(ar)[31:0] -> dr
0185 | dr[22:0] -> ar
0186 | mem(ar)[7:0] -> dr
