tick | mnemonic
-------------------------------------------------
0001 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0002 | dr[22:0] + pc -> ar
0003 | mem(ar)[31:0] -> dr
0004 | dr[31:0] -> acc
0005 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0006 | dr[22:0] + pc -> ar
0007 | mem(ar)[31:0] -> dr
0008 | acc + mem(ar) -> acc
0009 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0010 | acc <-> shadow_acc, dr[22:0] + pc -> ar -> shadow_ar
0011 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0012 | dr[22:0] + pc -> ar
0013 | mem(ar)[31:0] -> dr
0014 | dr[31:0] -> acc
0015 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0016 | dr[22:0] + pc -> ar
0017 | mem(ar)[31:0] -> dr
0018 | acc * mem(ar) -> acc
0019 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0020 | dr[22:0] + pc -> ar
0021 | mem(ar)[31:0] -> dr
0022 | acc + mem(ar) -> acc
0023 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0024 | dr[22:0] + pc -> ar
0025 | acc[31:0] -> mem(ar)
0026 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0027 | dr[22:0] + pc -> ar
0028 | mem(ar)[31:0] -> dr
0029 | dr[31:0] -> acc
0030 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0031 | acc - 1 -> acc
0032 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0033 | dr[22:0] + pc -> ar
0034 | acc[31:0] -> mem(ar)
0035 | shadow_acc[31:0] -> mem(shadow_ar)
0036 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0037 | if Z set: jmp @fetch
0038 | pc + extended(dr[22:0]) -> pc
0039 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0040 | dr[22:0] + pc -> ar
0041 | mem(ar)[31:0] -> dr
0042 | dr[31:0] -> acc
0043 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0044 | dr[22:0] + pc -> ar
0045 | mem(ar)[31:0] -> dr
0046 | acc + mem(ar) -> acc
0047 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0048 | acc <-> shadow_acc, dr[22:0] + pc -> ar -> shadow_ar
0049 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0050 | dr[22:0] + pc -> ar
0051 | mem(ar)[31:0] -> dr
0052 | dr[31:0] -> acc
0053 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0054 | dr[22:0] + pc -> ar
0055 | mem(ar)[31:0] -> dr
0056 | acc * mem(ar) -> acc
0057 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0058 | dr[22:0] + pc -> ar
0059 | mem(ar)[31:0] -> dr
0060 | acc + mem(ar) -> acc
0061 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0062 | dr[22:0] + pc -> ar
0063 | acc[31:0] -> mem(ar)
0064 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0065 | dr[22:0] + pc -> ar
0066 | mem(ar)[31:0] -> dr
0067 | dr[31:0] -> acc
0068 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0069 | acc - 1 -> acc
0070 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0071 | dr[22:0] + pc -> ar
0072 | acc[31:0] -> mem(ar)
0073 | shadow_acc[31:0] -> mem(shadow_ar)
0074 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0075 | if Z set: jmp @fetch
0076 | pc + extended(dr[22:0]) -> pc
0077 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0078 | dr[22:0] + pc -> ar
0079 | mem(ar)[31:0] -> dr
0080 | dr[31:0] -> acc
0081 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0082 | dr[22:0] + pc -> ar
0083 | mem(ar)[31:0] -> dr
0084 | acc + mem(ar) -> acc
0085 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0086 | acc <-> shadow_acc, dr[22:0] + pc -> ar -> shadow_ar
0087 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0088 | dr[22:0] + pc -> ar
0089 | mem(ar)[31:0] -> dr
0090 | dr[31:0] -> acc
0091 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0092 | dr[22:0] + pc -> ar
0093 | mem(ar)[31:0] -> dr
0094 | acc * mem(ar) -> acc
0095 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0096 | dr[22:0] + pc -> ar
0097 | mem(ar)[31:0] -> dr
0098 | acc + mem(ar) -> acc
0099 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0100 | dr[22:0] + pc -> ar
0101 | acc[31:0] -> mem(ar)
0102 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0103 | dr[22:0] + pc -> ar
0104 | mem(ar)[31:0] -> dr
0105 | dr[31:0] -> acc
0106 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0107 | acc - 1 -> acc
0108 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0109 | dr[22:0] + pc -> ar
0110 | acc[31:0] -> mem(ar)
0111 | shadow_acc[31:0] -> mem(shadow_ar)
0112 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0113 | if Z set: jmp @fetch
0114 | pc + extended(dr[22:0]) -> pc
0115 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0116 | dr[22:0] + pc -> ar
0117 | mem(ar)[31:0] -> dr
0118 | dr[31:0] -> acc
0119 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0120 | dr[22:0] + pc -> ar
0121 | mem(ar)[31:0] -> dr
0122 | acc + mem(ar) -> acc
0123 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0124 | acc <-> shadow_acc, dr[22:0] + pc -> ar -> shadow_ar
0125 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0126 | dr[22:0] + pc -> ar
0127 | mem(ar)[31:0] -> dr
0128 | dr[31:0] -> acc
0129 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0130 | dr[22:0] + pc -> ar
0131 | mem(ar)[31:0] -> dr
0132 | acc * mem(ar) -> acc
0133 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0134 | dr[22:0] + pc -> ar
0135 | mem(ar)[31:0] -> dr
0136 | acc + mem(ar) -> acc
0137 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0138 | dr[22:0] + pc -> ar
0139 | acc[31:0] -> mem(ar)
0140 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0141 | dr[22:0] + pc -> ar
0142 | mem(ar)[31:0] -> dr
0143 | dr[31:0] -> acc
0144 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0145 | acc - 1 -> acc
0146 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0147 | dr[22:0] + pc -> ar
0148 | acc[31:0] -> mem(ar)
0149 | shadow_acc[31:0] -> mem(shadow_ar)
0150 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0151 | if Z set: jmp @fetch
0152 | pc + extended(dr[22:0]) -> pc
0153 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0154 | dr[22:0] + pc -> ar
0155 | mem(ar)[31:0] -> dr
0156 | dr[31:0] -> acc
0157 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0158 | dr[22:0] + pc -> ar
0159 | mem(ar)[31:0] -> dr
0160 | acc + mem(ar) -> acc
0161 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0162 | acc <-> shadow_acc, dr[22:0] + pc -> ar -> shadow_ar
0163 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0164 | dr[22:0] + pc -> ar
0165 | mem(ar)[31:0] -> dr
0166 | dr[31:0] -> acc
0167 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0168 | dr[22:0] + pc -> ar
0169 | mem(ar)[31:0] -> dr
0170 | acc * mem(ar) -> acc
0171 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0172 | dr[22:0] + pc -> ar
0173 | mem(ar)[31:0] -> dr
0174 | acc + mem(ar) -> acc
0175 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0176 | dr[22:0] + pc -> ar
0177 | acc[31:0] -> mem(ar)
0178 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0179 | dr[22:0] + pc -> ar
0180 | mem(ar)[31:0] -> dr
0181 | dr[31:0] -> acc
